iter	Passed	Remaining
705	8472	3528
706	8483	3515
707	8494	3503
708	8505	3490
709	8516	3478
710	8527	3466
711	8537	3453
712	8548	3441
713	8559	3428
714	8570	3416
715	8581	3403
716	8592	3391
717	8602	3378
718	8613	3366
719	8624	3353
720	8634	3341
721	8645	3328
722	8656	3316
723	8666	3303
724	8677	3291
725	8688	3279
726	8698	3266
727	8709	3254
728	8712	3238
729	8723	3226
730	8734	3214
731	8750	3203
732	8769	3194
733	8784	3183
734	8796	3171
735	8813	3161
736	8828	3150
737	8839	3138
738	8850	3125
739	8861	3113
740	8872	3101
741	8882	3088
742	8893	3076
743	8903	3063
744	8905	3048
745	8915	3035
746	8926	3023
747	8936	3010
748	8947	2998
749	8958	2986
750	8969	2974
751	8981	2961
752	8992	2949
753	9002	2937
754	9013	2924
755	9023	2912
756	9034	2900
757	9037	2885
758	9047	2872
759	9058	2860
760	9069	2848
761	9082	2836
762	9093	2824
763	9104	2812
764	9115	2800
765	9126	2787
766	9137	2775
767	9148	2763
768	9159	2751
769	9169	2738
770	9180	2726
771	9191	2714
772	9201	2702
773	9212	2690
774	9224	2677
775	9234	2665
776	9245	2653
777	9256	2641
778	9267	2629
779	9278	2617
780	9289	2604
781	9300	2592
782	9311	2580
783	9323	2568
784	9334	2556
785	9345	2544
786	9357	2532
787	9368	2520
788	9380	2508
789	9392	2496
790	9404	2484
791	9415	2472
792	9425	2460
793	9437	2448
794	9447	2436
795	9458	2424
796	9469	2412
797	9480	2399
798	9491	2387
799	9502	2375
800	9513	2363
801	9523	2351
802	9534	2339
803	9545	2327
804	9556	2314
805	9567	2302
806	9578	2290
807	9589	2278
808	9600	2266
809	9611	2254
810	9622	2242
811	9633	2230
812	9645	2218
813	9656	2206
814	9667	2194
815	9678	2182
816	9688	2170
817	9699	2158
818	9710	2146
819	9721	2133
820	9731	2121
821	9742	2109
822	9753	2097
823	9764	2085
824	9775	2073
825	9786	2061
826	9796	2049
827	9807	2037
828	9817	2025
829	9828	2013
830	9839	2001
831	9850	1988
832	9860	1976
833	9871	1964
834	9882	1952
835	9892	1940
836	9903	1928
837	9913	1916
838	9924	1904
839	9935	1892
840	9947	1880
841	9958	1868
842	9970	1856
843	9981	1844
844	9992	1833
845	10003	1821
846	10014	1808
847	10025	1796
848	10035	1784
849	10046	1772
850	10057	1760
851	10068	1748
852	10078	1736
853	10089	1724
854	10100	1712
855	10111	1700
856	10121	1688
857	10132	1676
858	10143	1665
859	10154	1653
860	10165	1641
861	10176	1629
862	10186	1617
863	10197	1605
864	10208	1593
865	10220	1581
866	10230	1569
867	10241	1557
868	10252	1545
869	10262	1533
870	10268	1520
871	10279	1508
872	10290	1496
873	10301	1485
874	10311	1473
875	10322	1461
876	10333	1449
877	10344	1437
878	10355	1425
879	10365	1413
880	10377	1401
881	10391	1390
882	10407	1379
883	10422	1367
884	10439	1356
885	10452	1344
886	10464	1333
887	10475	1321
888	10486	1309
889	10487	1296
890	10498	1284
891	10509	1272
892	10521	1260
893	10533	1248
894	10544	1237
895	10555	1225
896	10566	1213
897	10577	1201
898	10588	1189
899	10599	1177
900	10610	1165
901	10620	1153
902	10631	1142
903	10642	1130
904	10654	1118
905	10665	1106
906	10675	1094
907	10686	1082
908	10702	1071
909	10719	1060
910	10734	1048
911	10746	1036
912	10757	1025
913	10774	1013
914	10790	1002
915	10801	990
916	10812	978
917	10824	966
918	10835	955
919	10848	943
920	10859	931
921	10869	919
922	10880	907
923	10891	895
924	10901	883
925	10912	872
926	10923	860
927	10934	848
928	10957	837
929	10968	825
930	10979	813
931	10990	801
932	11001	790
933	11011	778
934	11022	766
935	11033	754
936	11044	742
937	11055	730
938	11066	718
939	11077	707
940	11088	695
941	11099	683
942	11112	671
943	11130	660
944	11147	648
945	11166	637
946	11179	625
947	11183	613
948	11194	601
949	11205	589
950	11216	577
951	11226	566
952	11237	554
953	11248	542
954	11258	530
955	11269	518
956	11280	506
957	11292	495
958	11303	483
959	11314	471
960	11324	459
961	11335	447
962	11346	435
963	11356	424
964	11367	412
965	11381	400
966	11392	388
967	11403	376
968	11414	365
969	11425	353
970	11435	341
971	11446	329
972	11457	317
973	11468	306
974	11479	294
975	11490	282
976	11501	270
977	11512	258
978	11522	247
979	11533	235
980	11544	223
981	11555	211
982	11573	200
983	11593	188
984	11611	176
985	11630	165
986	11650	153
987	11669	141
988	11689	130
989	11707	118
990	11718	106
991	11729	94
992	11740	82
993	11751	70
994	11762	59
995	11772	47
996	11783	35
997	11794	23
998	11804	11
999	11815	0
