"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1600,1572,1628,1261,1230,1300,1500,1466,1544,1819,1770,1884,15161,2775,535
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1746,1726,1767,1370,1351,1400,1630,1600,1675,2032,1990,2090,16066,3290,812
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1963,1929,1997,1500,1469,1546,1800,1761,1850,2292,2240,2360,22161,3828,515
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2122,2095,2149,1620,1585,1655,1972,1940,2026,2490,2442,2528,22671,4061,817
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2480,2429,2531,1900,1850,1950,2310,2271,2373,2870,2750,2942,10940,1893,432
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2646,2607,2686,2068,2003,2112,2517,2453,2579,3123,3051,3200,11081,2088,653
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",864,850,877,681,674,696,828,807,848,985,959,1018,2294,1550,107
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",942,921,963,757,737,776,910,890,925,1086,1058,1108,2381,1626,89
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1001,986,1016,765,747,785,942,916,971,1172,1148,1200,4946,3236,152
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1084,1072,1097,856,845,880,1027,1013,1057,1282,1267,1303,5073,3394,132
