StichtagDatJahr,StichtagDatMonat,RaumeinheitSort,RaumeinheitLang,GliederungSort,GliederungLang,ZimmerSort,ZimmerLang,GemeinnuetzigSort,GemeinnuetzigLang,EinheitSort,EinheitLang,PreisartSort,PreisartLang,mean,meanl,meanu,qu25,qu25l,qu25u,qu50,qu50l,qu50u,qu75,qu75l,qu75u,Domain,Sample1,Sample2
2024,2024.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1433.0,1399.0,1468.0,1081.0,1050.0,1123.0,1357.0,1300.0,1402.0,1731.0,1625.0,1826.0,1665,1014,66
2022,2022.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1729.0,1696.0,1762.0,1400.0,1382.0,1430.0,1600.0,1560.0,1690.0,2050.0,1974.0,2116.0,11258,1892,370
2024,2024.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1824.0,1796.0,1851.0,1428.0,1395.0,1459.0,1732.0,1684.0,1769.0,2112.0,2052.0,2187.0,10824,2203,560
2022,2022.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2037.0,1989.0,2086.0,1572.0,1518.0,1610.0,1943.0,1870.0,2000.0,2360.0,2300.0,2450.0,13397,2104,347
2024,2024.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2205.0,2168.0,2242.0,1716.0,1650.0,1757.0,2090.0,2028.0,2123.0,2550.0,2460.0,2620.0,12682,2242,471
2022,2022.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2570.0,2499.0,2640.0,1920.0,1870.0,1980.0,2421.0,2317.0,2590.0,3070.0,2950.0,3189.0,5418,908,239
2024,2024.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2706.0,2641.0,2772.0,2024.0,1979.0,2117.0,2560.0,2500.0,2690.0,3213.0,3084.0,3350.0,5142,898,348
2022,2022.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,962.0,948.0,977.0,737.0,724.0,750.0,903.0,885.0,913.0,1125.0,1111.0,1155.0,4894,3127,218
2024,2024.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1030.0,1015.0,1045.0,801.0,785.0,816.0,974.0,961.0,991.0,1192.0,1165.0,1221.0,5113,3320,217
2022,2022.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1079.0,1066.0,1093.0,790.0,781.0,808.0,998.0,990.0,1024.0,1288.0,1262.0,1311.0,9305,5902,269
2024,2024.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1148.0,1138.0,1159.0,867.0,853.0,886.0,1081.0,1062.0,1105.0,1338.0,1313.0,1380.0,9363,6111,261
2022,2022.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1427.0,1412.0,1442.0,1087.0,1067.0,1116.0,1425.0,1400.0,1449.0,1711.0,1693.0,1733.0,6042,3709,243
2024,2024.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1515.0,1500.0,1530.0,1196.0,1177.0,1220.0,1488.0,1470.0,1509.0,1775.0,1751.0,1803.0,5895,3653,228
2022,2022.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1600.0,1572.0,1628.0,1261.0,1230.0,1300.0,1500.0,1466.0,1544.0,1819.0,1770.0,1884.0,15161,2775,535
2024,2024.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1746.0,1726.0,1767.0,1370.0,1351.0,1400.0,1630.0,1600.0,1675.0,2032.0,1990.0,2090.0,16066,3290,812
2022,2022.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1963.0,1929.0,1997.0,1500.0,1469.0,1546.0,1800.0,1761.0,1850.0,2292.0,2240.0,2360.0,22161,3828,515
2024,2024.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2122.0,2095.0,2149.0,1620.0,1585.0,1655.0,1972.0,1940.0,2026.0,2490.0,2442.0,2528.0,22671,4061,817
2022,2022.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2480.0,2429.0,2531.0,1900.0,1850.0,1950.0,2310.0,2271.0,2373.0,2870.0,2750.0,2942.0,10940,1893,432
2024,2024.04,1,Ganze Stadt,3,Bestand Mietverträge 3-10 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2646.0,2607.0,2686.0,2068.0,2003.0,2112.0,2517.0,2453.0,2579.0,3123.0,3051.0,3200.0,11081,2088,653
2022,2022.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,864.0,850.0,877.0,681.0,674.0,696.0,828.0,807.0,848.0,985.0,959.0,1018.0,2294,1550,107
2024,2024.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,942.0,921.0,963.0,757.0,737.0,776.0,910.0,890.0,925.0,1086.0,1058.0,1108.0,2381,1626,89
2022,2022.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1001.0,986.0,1016.0,765.0,747.0,785.0,942.0,916.0,971.0,1172.0,1148.0,1200.0,4946,3236,152
2024,2024.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1084.0,1072.0,1097.0,856.0,845.0,880.0,1027.0,1013.0,1057.0,1282.0,1267.0,1303.0,5073,3394,132
2022,2022.04,1,Ganze Stadt,4,Bestand Mietverträge 11-20 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1321.0,1306.0,1335.0,1073.0,1045.0,1105.0,1302.0,1285.0,1323.0,1529.0,1511.0,1551.0,3935,2596,145
